level,file_order,source_module_id,source_filename,title,title_en,db_module_id,db_module_number,db_module_title,db_match_status,source_lesson_count,source_lesson_order,listening_quiz_lesson_ids,translation_quiz_lesson_ids,listening_immersion_lesson_ids
A1,1,1,module_A1_1_greetings.json,Знакомство и приветствия,Greetings and Introductions,1,1,Знакомство и приветствия,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,6,10,11
A1,2,2,module_A1_2_numbers_and_colors.json,Предметы вокруг нас,Objects Around Us,2,2,Предметы вокруг нас,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,18,22,23
A1,3,3,module_A1_3_clothing.json,Одежда,Clothing,3,3,Одежда,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,390,394,395
A1,4,4,module_A1_4_objects_around_us.json,Числа и цвета,Numbers and Colors,4,4,Числа и цвета,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,522,526,527
A1,5,5,module_A1_5_classroom_objects.json,Предметы в классе и комнате,Classroom Objects,5,5,Предметы в классе и комнате,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,654,658,659
A1,6,6,module_A1_6_family.json,Семья,Family,6,6,Семья,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,786,790,791
A1,7,7,module_A1_7_home_and_furniture.json,Дом и мебель,Home and Furniture,7,7,Дом и мебель,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,882,886,887
A1,8,8,module_A1_8_days_and_time.json,Дни недели и время,Days and Time,8,8,Дни недели и время,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,894,898,899
A1,9,9,module_A1_9_weather_and_seasons.json,Погода и времена года,Weather and Seasons,9,9,Погода и времена года,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,906,910,911
A1,10,10,module_A1_10_daily_routine.json,Повседневная жизнь,Daily Routine,10,10,Повседневная жизнь,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,30,34,35
A1,11,11,module_A1_11_professions.json,Профессии,Professions,11,11,Профессии,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,42,46,47
A1,12,12,module_A1_12_daily_habits.json,Повседневные привычки и частотность действий,Daily Habits and Frequency,12,12,Повседневные привычки и частотность действий,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,54,58,59
A1,13,13,module_A1_13_body_parts.json,Части тела,Body Parts,13,13,Части тела,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,66,70,71
A1,14,14,module_A1_14_can_abilities.json,Умения и способности,Skills and Abilities,14,14,Умения и способности,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,78,82,83
A1,15,15,module_A1_15_food_and_drinks.json,Еда и напитки,Food and Drinks,15,15,Еда и напитки,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,90,94,95
A1,16,16,module_A1_16_personal_belongings.json,Личные вещи,Personal belongings,81,16,Личные вещи,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,966,970,971
A2,1,1,module_A2_1_food_articles.json,Артикли и some/any (еда),Food Articles,16,1,Артикли и some/any (еда),matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,102,106,107
A2,2,2,module_A2_2_shopping.json,Магазины и покупки,Shopping,17,2,Магазины и покупки,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,114,118,119
A2,3,3,module_A2_3_cafe_and_restaurant.json,Кафе и ресторан,Cafe and Restaurant,18,3,Кафе и ресторан,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,126,130,131
A2,4,4,module_A2_4_food_cooking.json,Еда и приготовление блюд,Food and Cooking,19,4,Еда и приготовление блюд,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,138,142,143
A2,5,5,module_A2_5_hobbies.json,Хобби и интересы,Hobbies,20,5,Хобби и интересы,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,150,154,155
A2,6,6,module_A2_6_school_life.json,Школьная жизнь,School Life,21,6,Школьная жизнь,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,162,166,167
A2,7,7,module_A2_7_healthy_lifestyle.json,Здоровый образ жизни,Healthy Lifestyle,22,7,Здоровый образ жизни,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,174,178,179
A2,8,8,module_A2_8_city_transport.json,Путешествия по городу,City Transport,23,8,Путешествия по городу,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,186,190,191
A2,9,9,module_A2_9_friends.json,Мои приятели,Buddies,24,9,Мои приятели,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,198,202,203
A2,10,10,module_A2_10_animals.json,Животные,Animals,25,10,Животные,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,210,214,215
A2,11,11,module_A2_11_superlatives.json,Превосходная степень,Superlatives,26,11,Превосходная степень,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,222,226,227
A2,12,12,module_A2_12_city_village.json,Город и деревня,City and Village,27,12,Город и деревня,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,234,238,239
A2,13,13,module_A2_13_countries.json,Страны и национальности,Countries and Nationalities,28,13,Страны и национальности,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,246,250,251
A2,14,14,module_A2_14_food_and_health.json,Еда и здоровье,Food and Health,29,14,Еда и здоровье,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,258,262,263
A2,15,15,module_A2_15_household_chores.json,Домашние обязанности,Household Chores,30,15,Домашние обязанности,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,270,274,275
A2,16,16,module_A2_16_future_plans.json,Планы и договорённости,Future Plans and Arrangements,31,16,Планы и договорённости,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,282,286,287
A2,17,17,module_A2_17_holiday_plans.json,Планы на отпуск,Holiday Plans,32,17,Планы на отпуск,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,294,298,299
A2,18,18,module_A2_18_weather_and_climate.json,Погода и климат (расширение),Weather and Climate,33,18,Погода и климат (расширение),matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,306,310,311
A2,19,19,module_A2_19_music_art.json,Музыка и искусство,Music and Art,34,19,Музыка и искусство,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,318,322,323
A2,20,20,module_A2_20_nature_animals.json,Природа и животные,Nature and Animals,35,20,Природа и животные,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,330,334,335
A2,21,21,module_A2_21_environment_and_ecology.json,"Окружающая среда, экология.",Environment and Ecology.,36,21,"Окружающая среда, экология.",matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,342,346,347
A2,22,22,module_A2_22_holidays_traditions.json,Праздники и традиции,Holidays and Traditions,37,22,Праздники и традиции,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,354,358,359
B1,1,1,module_B1_1_past_irregular.json,Истории из жизни,Life Stories,38,1,Истории из жизни,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,366,370,371
B1,2,2,module_B1_2_cinema_and_theatre.json,"Кино и театр, развлечения.",Cinema and Theatre.,39,2,"Кино и театр, развлечения.",matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,378,382,383
B1,3,3,module_B1_3_used_to.json,Детство и воспоминания,Childhood and Memories,40,3,Детство и воспоминания,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,402,406,407
B1,4,4,module_B1_4_friends_and_character.json,"Друзья, качества, характер",Friends and Character,41,4,"Друзья, качества, характер",matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,414,418,419
B1,5,5,module_B1_5_family_relationships.json,Семейные отношения.,Family Relationships.,42,5,Семейные отношения.,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,426,430,431
B1,6,6,module_B1_6_sport_and_achievements.json,Спорт и достижения.,Sport and Achievements.,43,6,Спорт и достижения.,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,438,442,443
B1,7,7,module_B1_7_money_and_finances.json,Деньги и финансы (начало).,Money and Finances.,44,7,Деньги и финансы (начало).,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,450,454,455
B1,8,8,module_B1_8_work_and_career.json,Работа и карьера (начало).,Work and Career.,45,8,Работа и карьера (начало).,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,462,466,467
B1,9,9,module_B1_9_city_and_country.json,"Город и деревня (расширение), типы жилья",City and Country,46,9,"Город и деревня (расширение), типы жилья",matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,474,478,479
B1,10,10,module_B1_10_food_and_restaurants.json,Еда и рестораны (расширение),Food and Restaurants,47,10,Еда и рестораны (расширение),matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,486,490,491
B1,11,11,module_B1_11_internet_and_social_media.json,Интернет и соцсети,Internet and Social Media,48,11,Интернет и соцсети,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,498,502,503
B1,12,12,module_B1_12_technology.json,Технологии и гаджеты,Technology and Gadgets,49,12,Технологии и гаджеты,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,510,514,515
B1,13,13,module_B1_13_travel_and_tourism.json,Путешествия и туризм / Путешествия за границу,Travel and Tourism,50,13,Путешествия и туризм / Путешествия за границу,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,534,538,539
B1,14,14,module_B1_14_fashion_and_style.json,Мода и стиль,Fashion and Style,51,14,Мода и стиль,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,546,550,551
B2,1,1,module_B2_1_lifestyle_and_psychology.json,Образ жизни и психология.,Lifestyle and Psychology.,52,1,Образ жизни и психология.,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,558,562,563
B2,2,2,module_B2_2_science_and_technology.json,Наука и технологии (углубление).,Science and Technology (Advanced).,55,2,Наука и технологии (углубление).,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,594,598,599
B2,3,3,module_B2_3_media_and_communications.json,СМИ и коммуникации.,Media and Communications.,56,3,СМИ и коммуникации.,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,606,610,611
B2,4,4,module_B2_4_society_and_culture.json,Общество и культура.,Society and Culture.,57,4,Общество и культура.,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,618,622,623
B2,5,5,module_B2_5_psychology_and_relationships.json,Психология и отношения (углубление).,Psychology and Relationships (advanced).,58,5,Психология и отношения (углубление).,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,630,634,635
B2,6,6,module_B2_6_science_and_technology.json,"Наука и технологии (AI, биотехнологии).","Science and Technology (AI, biotech).",59,6,"Наука и технологии (AI, биотехнологии).",matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,642,646,647
B2,7,7,module_B2_7_reported_questions.json,СМИ и коммуникации,Media and Communications,60,7,СМИ и коммуникации,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,666,670,671
B2,8,8,module_B2_8_passive_past.json,Технологии и инновации,Technology and Innovations,61,8,Технологии и инновации,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,678,682,683
B2,9,9,module_B2_9_crime_and_law.json,Преступность и право.,Crime and Law,62,9,Преступность и право.,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,690,694,695
B2,10,10,module_B2_10_travel_and_tourism.json,Путешествия и туризм (сложные сценарии).,Travel and Tourism (complex scenarios).,63,10,Путешествия и туризм (сложные сценарии).,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,702,706,707
B2,11,11,module_B2_11_art_and_culture.json,Искусство и культура.,Art and Culture.,64,11,Искусство и культура.,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,714,718,719
B2,12,12,module_B2_12_ecology_and_nature.json,Экология и природа (глобальные проблемы).,Ecology and Nature (global issues).,65,12,Экология и природа (глобальные проблемы).,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,726,730,731
C1,1,1,module_C1_1_trends_and_innovations.json,Тренды и инновации (начало).,Trends and Innovations (Introduction).,67,1,Тренды и инновации (начало).,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,750,754,755
C1,2,2,module_C1_2_ecology_and_nature.json,Экология и природа (углубление).,Ecology and Nature (Advanced).,68,2,Экология и природа (углубление).,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,762,766,767
C1,3,3,module_C1_3_trends_and_innovations.json,"Тренды и инновации (форсайт, прогнозы).","Trends and Innovations (foresight, forecasts).",70,3,"Тренды и инновации (форсайт, прогнозы).",matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,798,802,803
C1,4,4,module_C1_4_fashion_and_lifestyle.json,Мода и образ жизни.,Fashion and Lifestyle.,71,4,Мода и образ жизни.,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,810,814,815
C1,5,5,module_C1_5_work_and_career.json,"Работа и карьера (собеседования, переговоры).","Work and Career (Interviews, Negotiations).",72,5,"Работа и карьера (собеседования, переговоры).",matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,822,826,827
C1,6,6,module_C1_6_culture_and_society.json,Культура и общество.,Culture and Society.,73,6,Культура и общество.,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,834,838,839
C1,7,7,module_C1_7_media_and_communications.json,СМИ и коммуникации (анализ новостей).,Media and Communications (news analysis).,74,7,СМИ и коммуникации (анализ новостей).,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,846,850,851
C1,8,8,module_C1_8_third_conditional.json,Путешествия и сожаления,Travel and Regrets,75,8,Путешествия и сожаления,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,858,862,863
C1,9,9,module_C1_9_money_and_finances.json,"Деньги и финансы (инвестиции, экономика).","Money and Finances (investments, economy).",76,9,"Деньги и финансы (инвестиции, экономика).",matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,870,874,875
C1,10,10,module_C1_10_social_problems.json,Социальные проблемы.,Social Problems.,80,10,Социальные проблемы.,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,954,958,959
C1,11,11,module_C1_11_sport_and_achievements.json,Спорт и достижения (профессиональный спорт).,Sport and Achievements (professional sport).,77,11,Спорт и достижения (профессиональный спорт).,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,918,922,923
C1,12,12,module_C1_12_education_and_career.json,Образование и карьера (академическая среда).,Education and Career (academic environment).,79,12,Образование и карьера (академическая среда).,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,942,946,947
C1,13,13,module_C1_13_law_and_order.json,Право и порядок.,Law and Order.,78,13,Право и порядок.,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,930,934,935
